time,seconds_elapsed,z,y,x
1772642754167542800,0.047542724609375,-0.82647705078125,-0.322265625,0.0142822265625
1772642754177587700,0.057587646484375,-0.810211181640625,-0.3074493408203125,-0.0048828125
1772642754187632000,0.067632080078125,-0.8008270263671875,-0.28778076171875,-0.0231781005859375
1772642754197677000,0.077677001953125,-0.7923736572265625,-0.26837158203125,-0.0398101806640625
1772642754207722200,0.08772216796875,-0.7989959716796875,-0.250091552734375,-0.0519866943359375
1772642754217767000,0.097766845703125,-0.8073272705078125,-0.232177734375,-0.06280517578125
1772642754227812000,0.10781201171875,-0.820159912109375,-0.21282958984375,-0.0714111328125
1772642754237857000,0.11785693359375,-0.8394317626953125,-0.1914215087890625,-0.0716705322265625
1772642754247902200,0.127902099609375,-0.8349609375,-0.169036865234375,-0.0667877197265625
1772642754257947100,0.137947021484375,-0.806976318359375,-0.146575927734375,-0.0638580322265625
1772642754267992000,0.147991943359375,-0.769439697265625,-0.1260986328125,-0.063262939453125
1772642754278037000,0.158037109375,-0.7256622314453125,-0.10211181640625,-0.064727783203125
1772642754288082200,0.168082275390625,-0.6896514892578125,-0.0704193115234375,-0.0660400390625
1772642754298127000,0.178127197265625,-0.708465576171875,-0.0605926513671875,-0.0603179931640625
1772642754308172000,0.188172119140625,-0.7073974609375,-0.060577392578125,-0.0655517578125
1772642754318217000,0.198217041015625,-0.7007293701171875,-0.05877685546875,-0.055145263671875
1772642754328262100,0.20826220703125,-0.7269287109375,-0.0683135986328125,-0.054229736328125
1772642754338307000,0.21830712890625,-0.7224884033203125,-0.0890655517578125,-0.064544677734375
1772642754348352300,0.228352294921875,-0.714263916015625,-0.097259521484375,-0.0654296875
1772642754358397000,0.23839697265625,-0.7442169189453125,-0.0876007080078125,-0.0326080322265625
1772642754368442000,0.248442138671875,-0.820098876953125,-0.13067626953125,-0.0235443115234375
1772642754378487000,0.258487060546875,-0.9578857421875,-0.2231292724609375,-0.0257720947265625
1772642754388532200,0.2685322265625,-1.115264892578125,-0.3349151611328125,-0.010162353515625
1772642754398577200,0.2785771484375,-1.225982666015625,-0.3791351318359375,0.023193359375
1772642754408622000,0.2886220703125,-1.313720703125,-0.3513031005859375,0.0475311279296875
1772642754418667000,0.2986669921875,-1.442474365234375,-0.34698486328125,0.0263824462890625
1772642754428712200,0.308712158203125,-1.5638427734375,-0.344482421875,-0.0715484619140625
1772642754438757000,0.318757080078125,-1.6501312255859375,-0.266754150390625,-0.1488189697265625
1772642754448802000,0.328802001953125,-1.8050994873046875,-0.2397918701171875,-0.1901092529296875
1772642754458847000,0.338846923828125,-1.938720703125,-0.244873046875,-0.2266845703125
1772642754468892200,0.34889208984375,-1.9375762939453125,-0.2367401123046875,-0.2356109619140625
1772642754478937000,0.35893701171875,-1.8042449951171875,-0.28790283203125,-0.17303466796875
1772642754488982300,0.368982177734375,-1.6069183349609375,-0.4178924560546875,-0.1179656982421875
1772642754499027000,0.37902685546875,-1.39068603515625,-0.5670623779296875,-0.109405517578125
1772642754509072100,0.389072021484375,-1.2701568603515625,-0.6551361083984375,-0.08245849609375
1772642754519117000,0.399116943359375,-1.248687744140625,-0.5812225341796875,-0.041259765625
1772642754529162200,0.409162353515625,-1.255096435546875,-0.6127777099609375,0.051361083984375
1772642754539207200,0.419207275390625,-1.3070526123046875,-0.7774200439453125,0.1904754638671875
1772642754549252000,0.429252197265625,-1.3669586181640625,-0.8676300048828125,0.2174835205078125
1772642754559297000,0.439297119140625,-1.238037109375,-0.803863525390625,0.1155548095703125
1772642754569342200,0.44934228515625,-1.1182861328125,-0.7471160888671875,-0.051239013671875
1772642754579387100,0.45938720703125,-0.8980560302734375,-0.629302978515625,-0.1749114990234375
1772642754589432000,0.46943212890625,-0.9095306396484375,-0.596221923828125,-0.207000732421875
1772642754599477000,0.47947705078125,-1.0053863525390625,-0.6932830810546875,-0.1190185546875
1772642754609522200,0.489522216796875,-0.97698974609375,-0.6583099365234375,-0.101654052734375
1772642754619567000,0.499567138671875,-1.0574798583984375,-0.6416168212890625,-0.11846923828125
1772642754629612300,0.5096123046875,-1.1828765869140625,-0.63275146484375,-0.1705169677734375
1772642754639657000,0.519656982421875,-1.1623382568359375,-0.4097137451171875,-0.381805419921875
1772642754649702100,0.5297021484375,-1.1868438720703125,-0.252105712890625,-0.561920166015625
1772642754659747000,0.5397470703125,-1.193023681640625,-0.1717376708984375,-0.567474365234375
1772642754669792300,0.549792236328125,-1.1082305908203125,-0.0895538330078125,-0.4802703857421875
1772642754679837000,0.5598369140625,-0.961517333984375,-0.0187530517578125,-0.384490966796875
1772642754689882000,0.569882080078125,-0.777191162109375,0.034393310546875,-0.3275146484375
1772642754699927000,0.579927001953125,-0.63165283203125,0.01861572265625,-0.2603302001953125
1772642754709972200,0.58997216796875,-0.5074615478515625,0.049102783203125,-0.2066497802734375
1772642754720017200,0.60001708984375,-0.452239990234375,0.0966033935546875,-0.138671875
1772642754730062000,0.61006201171875,-0.4149932861328125,0.1069183349609375,-0.075592041015625
1772642754740107000,0.62010693359375,-0.336822509765625,0.1240386962890625,-0.08001708984375
1772642754750152200,0.630152099609375,-0.3025970458984375,0.0900115966796875,-0.0683441162109375
1772642754760197000,0.640197021484375,-0.1833953857421875,0.0616607666015625,-0.075042724609375
1772642754770241000,0.650240966796875,-0.086212158203125,0.009002685546875,-0.080963134765625
1772642754780286000,0.660285888671875,-0.0403289794921875,-0.0086517333984375,-0.1090240478515625
1772642754790331100,0.6703310546875,-0.003021240234375,-0.01287841796875,-0.132904052734375
