time,seconds_elapsed,z,y,x
1772639519940407000,0.059406982421875,0.0239664837718009,-0.0243818182498216,-0.0036042882129549
1772639519950452000,0.069451904296875,0.0259334947913885,-0.0348549634218215,-0.0141051318496465
1772639519960497200,0.0794970703125,0.0311463214457035,-0.0374763868749141,-0.0207908190786838
1772639519970542000,0.0895419921875,0.0323391482234001,-0.0412325076758861,-0.0168485417962074
1772639519980587300,0.099587158203125,0.0307360086590051,-0.0400648638606071,-0.0212256908416748
1772639519990631200,0.109631103515625,0.0274632479995489,-0.0351539924740791,-0.0254862159490585
1772639520000676000,0.119676025390625,0.0275901388376951,-0.0226790253072977,-0.027657862752676
1772639520010721300,0.12972119140625,0.0240143127739429,-0.0098428549244999,-0.0288789197802543
1772639520020766200,0.13976611328125,0.0183831360191106,-0.0007216760423034,-0.0274857431650161
1772639520030811100,0.14981103515625,0.0158664491027593,0.0095927463844418,-0.0226558372378349
1772639520040856000,0.15985595703125,0.0099034756422042,0.012415993027389,-0.0159323047846555
1772639520050901200,0.1699013671875,0.0110465046018362,0.0095560243353247,-0.0090935742482543
1772639520060946200,0.1799462890625,0.0163203123956918,0.0062552345916628,-0.0028370395302772
1772639520070991000,0.1899912109375,0.019596267491579,0.0058629512786865,0.0012218840420246
1772639520081035800,0.200035888671875,0.0193153526633977,-0.0015492225065827,-9.56584699451e-05
1772639520091081000,0.2100810546875,0.0143735902383923,-0.006190313026309,-0.0025191348977386
1772639520101126000,0.2201259765625,0.0093102166429162,-0.00671614613384,-0.0025637005455791
1772639520111171000,0.230171142578125,0.0037247687578201,-0.0128411510959267,-0.0084594059735536
1772639520121215700,0.2402158203125,0.0047707175835967,-0.0239581950008869,-0.0090692676603794
1772639520131261000,0.250260986328125,0.004445279482752,-0.0292626786977052,-0.0141127612441778
1772639520141305900,0.260305908203125,0.0019058299949392,-0.0284568611532449,-0.017241446301341
1772639520151351000,0.27035107421875,0.0006152620771899,-0.0276105087250471,-0.0234918855130672
1772639520161395700,0.280395751953125,0.0006155762821435,-0.0229441821575164,-0.0268712416291236
1772639520171441000,0.29044091796875,0.0001159672392532,-0.016884159296751,-0.030148796737194
1772639520181485000,0.300485107421875,0.0047314907424151,-0.0110072270035743,-0.0335281863808631
1772639520191530000,0.310530029296875,0.0084114465862512,-0.0172579325735569,-0.0368613973259925
1772639520201575000,0.320574951171875,0.0115367919206619,-0.0184049010276794,-0.0360211692750453
1772639520211619800,0.330619873046875,0.0162295475602149,-0.0240705087780952,-0.0296082757413387
1772639520221665000,0.3406650390625,0.0259082429111003,-0.0249866843223571,-0.0163526479154825
1772639520231710000,0.3507099609375,0.0302404090762138,-0.0175532698631286,0.0014804122038185
1772639520241755100,0.360755126953125,0.0311063081026077,-0.0112094543874263,0.0187694542109966
1772639520251799800,0.3707998046875,0.0263650845736265,-0.012111734598875,0.0303853638470172
1772639520261845000,0.380844970703125,0.0190215278416872,-0.0229875203222036,0.0375999808311462
1772639520271889000,0.390888916015625,0.0161343961954116,-0.0306923128664493,0.0370431132614612
1772639520281933800,0.400933837890625,0.0166792143136262,-0.0301449950784444,0.029592840000987
1772639520291978800,0.410978759765625,0.0175825599581003,-0.0222838763147592,0.0217021591961383
1772639520302024000,0.42102392578125,0.0170954670757055,-0.0142604354768991,0.013988472521305
1772639520312068900,0.43106884765625,0.0146890357136726,-0.0100220143795013,0.0084360474720597
1772639520322114000,0.441114013671875,0.0121948737651109,-0.0089923338964581,0.0073063261806964
1772639520332158700,0.45115869140625,0.0140239326283335,-0.0003772745840251,0.0087247258052229
1772639520342204000,0.461203857421875,0.0134986471384763,-0.0022709460463374,0.0107394009828567
1772639520352248800,0.471248779296875,0.0078878989443182,-0.0066744834184646,0.0100547019392251
1772639520362294000,0.4812939453125,0.0063874926418066,-0.0056146564893424,0.0080141248181462
1772639520372338000,0.491337890625,0.003102216636762,-0.0028779921121895,0.0026001844089478
1772639520382382800,0.5013828125,-0.0018833795329555,0.0034919227473437,-0.0063122850842773
1772639520392428000,0.511427978515625,-0.0056600081734359,0.0068192761391401,-0.0118556544184684
1772639520402473000,0.521472900390625,-0.0051615582779049,0.008630882948637,-0.0146148651838302
1772639520412518000,0.531517822265625,-0.0027066562324762,0.006940308958292,-0.013580759987235
1772639520422562800,0.541562744140625,-3.84502345696e-05,-0.000700457021594,-0.0107831060886383
1772639520432608000,0.55160791015625,-0.0018275617621839,-0.015822684392333,-0.0062064630910754
1772639520442653000,0.56165283203125,-0.003665252123028,-0.0233429502695798,-0.0067437924444675
1772639520452698000,0.571697998046875,-0.0085159335285425,-0.0207948386669158,-0.0082234451547265
1772639520462741800,0.58174169921875,-0.0116519313305616,-0.0156949386000633,-0.0165455602109432
1772639520472787000,0.591786865234375,-0.0144024435430765,-0.008497480303049,-0.0218527074903249
1772639520482832000,0.601831787109375,-0.0140241179615259,-0.0020103184506297,-0.0278103686869144
1772639520492877000,0.611876953125,-0.0148393120616674,-0.0011325404047966,-0.0323310829699039
1772639520502921700,0.621921630859375,-0.0108799431473016,0.0005080373957753,-0.032754436135292
1772639520512967000,0.631966796875,-0.0095803206786513,-0.003620661329478,-0.0304979402571916
1772639520523011800,0.64201171875,-0.0120148099958896,-0.0076357834041118,-0.0287582762539386
1772639520533057000,0.65205712890625,-0.0089590987190604,-0.0080570960417389,-0.0239629857242107
1772639520543101700,0.662101806640625,-0.0099992984905838,-0.0040330113843083,-0.0229003969579935
1772639520553147000,0.67214697265625,-0.0107076996937394,-0.0012273716274648,-0.022681750357151
1772639520563191000,0.68219091796875,-0.0121084749698638,-0.0058216550387442,-0.0235076714307069
1772639520573236000,0.692236083984375,-0.0164448991417884,-0.008343668654561,-0.0211198814213275
1772639520583281000,0.702281005859375,-0.0192847400903701,-0.0088920425623655,-0.0172139331698417
1772639520593325800,0.712325927734375,-0.0225037038326263,-0.0101471897214651,-0.0197729654610157
1772639520603371000,0.72237109375,-0.0250648017972707,-0.0093160588294267,-0.0234640818089246
1772639520613416000,0.732416015625,-0.0230631697922945,-0.0129629913717508,-0.0301853697746992
1772639520623461000,0.742461181640625,-0.0216509737074375,-0.0120841329917311,-0.0363632850348949
1772639520633505800,0.752505859375,-0.0187792871147394,-0.009055851958692,-0.0396245904266834
1772639520643551000,0.762551025390625,-0.0199408940970897,-0.0047442326322197,-0.0417750105261802
1772639520653596000,0.772595947265625,-0.0237817056477069,-0.0049325181171298,-0.0396817661821842
1772639520663639800,0.782639892578125,-0.0240437593311071,-0.010360307060182,-0.0349988639354705
1772639520673684700,0.792684814453125,-0.0203728582710027,-0.0184430014342069,-0.0314395502209663
1772639520683730000,0.80272998046875,-0.020143985748291,-0.0147238653153181,-0.0244397949427366
1772639520693774800,0.81277490234375,-0.0185767151415348,-0.0054534007795155,-0.0198801979422569
1772639520703820000,0.822820068359375,-0.0230759214609861,0.0010519416537135,-0.0137243811041116
1772639520713864700,0.83286474609375,-0.028475746512413,0.0018205298110842,-0.0062422310002148
1772639520723910000,0.842909912109375,-0.0301591306924819,-0.0111417425796389,-0.0035158451646566
1772639520733954800,0.852954833984375,-0.0289508532732725,-0.0187804885208606,0.002035513985902
1772639520744000000,0.863,-0.0253825169056653,-0.0198316834867,0.0076830782927572
1772639520754044000,0.8730439453125,-0.023001117631793,-0.0133458198979496,0.0132906306535005
1772639520764088800,0.8830888671875,-0.0213806945830583,-0.0052991108968853,0.0197060145437717
1772639520774134000,0.893134033203125,-0.0226741917431354,-0.0084464345127344,0.021290861070156
1772639520784179000,0.903178955078125,-0.0250221751630306,-0.0064581949263811,0.0228092949837446
1772639520794223900,0.913223876953125,-0.0241076461970806,-0.0032911642920225,0.0177415665239095
1772639520804268800,0.923268798828125,-0.0199738554656505,-0.0011647164355963,0.0105726961046457
1772639520814314000,0.93331396484375,-0.0189107209444046,0.0018137628212571,-0.0021212613210082
1772639520824359000,0.94335888671875,-0.0214180722832679,-0.0004777305293828,-0.0142431771382689
1772639520834404000,0.953404052734375,-0.0259457137435674,0.0037026333156973,-0.0237187035381793
1772639520844448800,0.96344873046875,-0.027241762727499,0.0084521444514393,-0.0267532598227262
1772639520854493000,0.973492919921875,-0.0281467046588659,0.0060124224983155,-0.0269463416188955
1772639520864537900,0.983537841796875,-0.028554044663906,0.0029740792233496,-0.0220721643418073
1772639520874583000,0.9935830078125,-0.0239326618611812,0.002639852464199,-0.016437979415059
1772639520884627700,1.003627685546875,-0.0184051115065813,0.0066421506926417,-0.0124595509842038
1772639520894673000,1.0136728515625,-0.0158186499029397,0.0082411123439669,-0.0086664101108908
1772639520904717800,1.0237177734375,-0.0223920848220586,0.0253800917416811,-0.0065870299004018
1772639520914763000,1.033762939453125,-0.0309381671249866,0.0369826853275299,-0.0041960445232689
1772639520924807700,1.0438076171875,-0.0408775210380554,0.0464793927967548,-0.0016528163105249
1772639520934852900,1.053852783203125,-0.0445433631539344,0.0639510601758956,-0.0045918812975287
1772639520944897000,1.06389697265625,-0.0464055761694908,0.0791432708501815,0.0024793427437543
1772639520954942000,1.07394189453125,-0.0413985662162303,0.06805120408535,0.0117759052664041
1772639520964987000,1.08398681640625,-0.0333489254117012,0.0462020561099052,0.0191518049687147
1772639520975031800,1.09403173828125,-0.0266220457851886,0.0299879312515258,0.0337448641657829
1772639520985077000,1.104076904296875,-0.020354202017188,0.0157385617494583,0.0434072501957416
1772639520995122000,1.114121826171875,-0.0146848643198609,-0.0003551861736923,0.0457300618290901
1772639521005167000,1.1241669921875,-0.0113055640831589,-0.0121919810771942,0.0424786023795604
1772639521015211800,1.134211669921875,-0.00962217990309,-0.0180216412991285,0.0288397576659917
1772639521025257000,1.144257080078125,-0.0107500599697232,-0.0209607537835836,0.0036590474192053
1772639521035302000,1.154302001953125,-0.0084608057513833,-0.0116215795278549,-0.0193629153072834
1772639521045345800,1.164345703125,-0.0091321263462305,-0.0086687048897147,-0.0358174405992031
1772639521055390700,1.174390625,-0.0096154902130365,-0.0024699319619685,-0.0425424538552761
1772639521065436000,1.184435791015625,-0.0059926835820078,0.0015512066893279,-0.0451236851513385
1772639521075480800,1.194480712890625,0.0001728003844618,0.000229479977861,-0.0332244150340557
1772639521085525800,1.20452587890625,-0.0002369495341554,-0.0060961619019508,-0.0251848567277193
1772639521095570700,1.21457080078125,-0.0029592327773571,-0.0140531556680798,-0.0151836220175027
1772639521105615600,1.22461572265625,-0.0087270904332399,-0.0192883759737014,-0.0125366058200597
1772639521115660500,1.23466064453125,-0.0090687740594148,-0.020144049078226,-0.0104153975844383
1772639521125705700,1.244705810546875,-0.0062109674327075,-0.0145545192062854,-0.0102208154276013
1772639521135749600,1.25474951171875,-0.0003094027051702,-0.0054760696366429,-0.0072668371722102
1772639521145794600,1.264794677734375,0.0066783875226974,0.0036727036349475,-0.0015508099459111
1772639521155839700,1.27483984375,0.0114598264917731,0.0146012511104345,0.0049848537892103
1772639521165884700,1.284884765625,0.0089465864002704,0.0167856849730014,0.0080706644803285
1772639521175929900,1.294929931640625,0.005771298892796,0.0150839248672127,0.0097844079136848
1772639521185974500,1.304974609375,0.0017989913467317,0.0100146913900971,0.0044241864234209
1772639521196019700,1.315019775390625,0.0007827288936823,0.0056162145920097,0.0003181248903274
1772639521206064600,1.325064697265625,-0.003757569938898,0.0015851771458983,-0.0025752377696335
1772639521216109800,1.33510986328125,-0.0025815179105848,-0.002005562884733,-0.0096936002373695
1772639521226154800,1.34515478515625,-0.0015063376631587,-0.0036322604864835,-0.0173303969204425
1772639521236198700,1.35519873046875,-0.0008687768713571,-0.0058906213380396,-0.0227438062429428
1772639521246243800,1.365243896484375,-0.0032302658073604,-0.0059506362304091,-0.0284434221684932
1772639521256288800,1.375288818359375,-3.02114058285e-05,-0.0026381958741694,-0.0346544459462165
1772639521266333700,1.385333740234375,0.0076382369734346,0.0004077388439327,-0.0401343330740928
1772639521276378600,1.395378662109375,0.0139848152175545,0.0071521941572427,-0.0394160784780979
1772639521286423800,1.405423828125,0.0190564300864934,0.0075357919558882,-0.033138483762741
1772639521296468700,1.41546875,0.01832752302289,0.002314131706953,-0.0204415954649448
1772639521306513700,1.425513671875,0.0185265876352787,-0.0005769410636276,-0.0029017482884228
1772639521316558600,1.43555859375,0.0165065787732601,0.000901912106201,0.0112124728038907
1772639521326602800,1.445602783203125,0.0160661712288856,-0.0027676729951053,0.0181163661181926
1772639521336647700,1.455647705078125,0.0173072032630443,-0.0119507843628525,0.026792412623763
1772639521346692900,1.46569287109375,0.0173512864857912,-0.0121628269553184,0.0266946721822023
1772639521356737500,1.475737548828125,0.0157600492238998,-0.01131088193506,0.023508733138442
1772639521366782700,1.48578271484375,0.0114423763006925,-0.0035935451742261,0.0139094833284616
1772639521376827600,1.49582763671875,0.0117196114733815,0.008036745712161,0.0068257413804531
1772639521386872800,1.505872802734375,0.0071883052587509,0.0123472996056079,-0.0023881820961833
1772639521396917500,1.51591748046875,0.005930227227509,0.0064385440200567,-0.0044207070022821
1772639521406962700,1.525962646484375,0.0072831138968467,0.0023045195266604,-0.0019884416833519
1772639521417007600,1.536007568359375,0.0109146004542708,-0.000348787754774,0.0010579479858279
1772639521427051800,1.5460517578125,0.0109046511352062,-0.0006060560699552,0.0093448907136917
1772639521437096700,1.5560966796875,0.0114926770329475,0.0054265363141894,0.0181767325848341
1772639521447141600,1.5661416015625,0.0071319858543574,0.0043381890282034,0.021963121369481
1772639521457186800,1.576186767578125,0.0027580098249018,0.0043541677296161,0.022730378434062
1772639521467231700,1.586231689453125,0.0013274232624098,-0.0002732474822551,0.0182750951498746
